Time(s)	SideSlip(rad)	YawRate(rad/s)
  0.00	   -0.000000	    0.000000
  0.01	   -0.000000	    0.000000
  0.02	   -0.000000	    0.000000
  0.03	   -0.000000	    0.000000
  0.04	   -0.000000	    0.000000
  0.05	   -0.000000	    0.000000
  0.06	   -0.000000	    0.000000
  0.07	   -0.000000	    0.000000
  0.08	   -0.000000	    0.000000
  0.09	   -0.000000	    0.000000
  0.10	   -0.000000	    0.000000
  0.11	   -0.000000	    0.000000
  0.12	   -0.000000	    0.000000
  0.13	   -0.000000	    0.000000
  0.14	   -0.000000	    0.000000
  0.15	   -0.000000	    0.000000
  0.16	   -0.000000	    0.000000
  0.17	   -0.000000	    0.000000
  0.18	   -0.000000	    0.000000
  0.19	   -0.000000	    0.000000
  0.20	   -0.000000	    0.000000
  0.21	   -0.000000	    0.000000
  0.22	   -0.000000	    0.000000
  0.23	   -0.000000	    0.000000
  0.24	   -0.000000	    0.000000
  0.25	   -0.000000	    0.000000
  0.26	   -0.000000	    0.000000
  0.27	   -0.000000	    0.000000
  0.28	   -0.000000	    0.000000
  0.29	   -0.000000	    0.000000
  0.30	   -0.000000	    0.000000
  0.31	   -0.000000	    0.000000
  0.32	   -0.000000	    0.000000
  0.33	   -0.000000	    0.000000
  0.34	   -0.000000	    0.000000
  0.35	   -0.000000	    0.000000
  0.36	   -0.000000	    0.000000
  0.37	   -0.000000	    0.000000
  0.38	   -0.000000	    0.000000
  0.39	   -0.000000	    0.000000
  0.40	   -0.000000	    0.000000
  0.41	   -0.000000	    0.000000
  0.42	   -0.000000	    0.000000
  0.43	   -0.000000	    0.000000
  0.44	   -0.000000	    0.000000
  0.45	   -0.000000	    0.000000
  0.46	   -0.000000	    0.000000
  0.47	   -0.000000	    0.000000
  0.48	   -0.000000	    0.000000
  0.49	   -0.000000	    0.000000
  0.50	   -0.000000	    0.000000
  0.51	   -0.000000	    0.000000
  0.52	   -0.000000	    0.000000
  0.53	   -0.000000	    0.000000
  0.54	   -0.000000	    0.000000
  0.55	   -0.000000	    0.000000
  0.56	   -0.000000	    0.000000
  0.57	   -0.000000	    0.000000
  0.58	   -0.000000	    0.000000
  0.59	   -0.000000	    0.000000
  0.60	   -0.000000	    0.000000
  0.61	   -0.000000	    0.000000
  0.62	   -0.000000	    0.000000
  0.63	   -0.000000	    0.000000
  0.64	   -0.000000	    0.000000
  0.65	   -0.000000	    0.000000
  0.66	   -0.000000	    0.000000
  0.67	   -0.000000	    0.000000
  0.68	   -0.000000	    0.000000
  0.69	   -0.000000	    0.000000
  0.70	   -0.000000	    0.000000
  0.71	   -0.000000	    0.000000
  0.72	   -0.000000	    0.000000
  0.73	   -0.000000	    0.000000
  0.74	   -0.000000	    0.000000
  0.75	   -0.000000	    0.000000
  0.76	   -0.000000	    0.000000
  0.77	   -0.000000	    0.000000
  0.78	   -0.000000	    0.000000
  0.79	   -0.000000	    0.000000
  0.80	   -0.000000	    0.000000
  0.81	   -0.000000	    0.000000
  0.82	   -0.000000	    0.000000
  0.83	   -0.000000	    0.000000
  0.84	   -0.000000	    0.000000
  0.85	   -0.000000	    0.000000
  0.86	   -0.000000	    0.000000
  0.87	   -0.000000	    0.000000
  0.88	   -0.000000	    0.000000
  0.89	   -0.000000	    0.000000
  0.90	   -0.000000	    0.000000
  0.91	   -0.000000	    0.000000
  0.92	   -0.000000	    0.000000
  0.93	   -0.000000	    0.000000
  0.94	   -0.000000	    0.000000
  0.95	   -0.000000	    0.000000
  0.96	   -0.000000	    0.000000
  0.97	   -0.000000	    0.000000
  0.98	   -0.000000	    0.000000
  0.99	   -0.000000	    0.000000
  1.00	   -0.000000	    0.000000
  1.01	   -0.000944	    0.002659
  1.02	   -0.001886	    0.005316
  1.03	   -0.002828	    0.007970
  1.04	   -0.003768	    0.010618
  1.05	   -0.004706	    0.013260
  1.06	   -0.005640	    0.015894
  1.07	   -0.006571	    0.018518
  1.08	   -0.007498	    0.021129
  1.09	   -0.008420	    0.023728
  1.10	   -0.009337	    0.026312
  1.11	   -0.010248	    0.028879
  1.12	   -0.011153	    0.031427
  1.13	   -0.012050	    0.033956
  1.14	   -0.012940	    0.036463
  1.15	   -0.013821	    0.038948
  1.16	   -0.014694	    0.041408
  1.17	   -0.015558	    0.043841
  1.18	   -0.016412	    0.046247
  1.19	   -0.017255	    0.048624
  1.20	   -0.018088	    0.050970
  1.21	   -0.018909	    0.053284
  1.22	   -0.019718	    0.055564
  1.23	   -0.020515	    0.057809
  1.24	   -0.021299	    0.060017
  1.25	   -0.022069	    0.062188
  1.26	   -0.022825	    0.064319
  1.27	   -0.023567	    0.066410
  1.28	   -0.024294	    0.068459
  1.29	   -0.025006	    0.070465
  1.30	   -0.025702	    0.072426
  1.31	   -0.026381	    0.074341
  1.32	   -0.027045	    0.076209
  1.33	   -0.027690	    0.078029
  1.34	   -0.028319	    0.079800
  1.35	   -0.028929	    0.081521
  1.36	   -0.029522	    0.083190
  1.37	   -0.030095	    0.084806
  1.38	   -0.030650	    0.086369
  1.39	   -0.031185	    0.087878
  1.40	   -0.031701	    0.089331
  1.41	   -0.032196	    0.090727
  1.42	   -0.032672	    0.092066
  1.43	   -0.033126	    0.093347
  1.44	   -0.033560	    0.094569
  1.45	   -0.033972	    0.095731
  1.46	   -0.034363	    0.096833
  1.47	   -0.034733	    0.097874
  1.48	   -0.035080	    0.098853
  1.49	   -0.035405	    0.099769
  1.50	   -0.035708	    0.100623
  1.51	   -0.035988	    0.101412
  1.52	   -0.036246	    0.102138
  1.53	   -0.036481	    0.102799
  1.54	   -0.036692	    0.103396
  1.55	   -0.036881	    0.103927
  1.56	   -0.037046	    0.104392
  1.57	   -0.037188	    0.104792
  1.58	   -0.037306	    0.105125
  1.59	   -0.037401	    0.105392
  1.60	   -0.037472	    0.105592
  1.61	   -0.037519	    0.105726
  1.62	   -0.037543	    0.105792
  1.63	   -0.037543	    0.105792
  1.64	   -0.037519	    0.105726
  1.65	   -0.037472	    0.105592
  1.66	   -0.037401	    0.105392
  1.67	   -0.037306	    0.105125
  1.68	   -0.037188	    0.104792
  1.69	   -0.037046	    0.104392
  1.70	   -0.036881	    0.103927
  1.71	   -0.036692	    0.103396
  1.72	   -0.036481	    0.102799
  1.73	   -0.036246	    0.102138
  1.74	   -0.035988	    0.101412
  1.75	   -0.035708	    0.100623
  1.76	   -0.035405	    0.099769
  1.77	   -0.035080	    0.098853
  1.78	   -0.034733	    0.097874
  1.79	   -0.034363	    0.096833
  1.80	   -0.033972	    0.095731
  1.81	   -0.033560	    0.094569
  1.82	   -0.033126	    0.093347
  1.83	   -0.032672	    0.092066
  1.84	   -0.032196	    0.090727
  1.85	   -0.031701	    0.089331
  1.86	   -0.031185	    0.087878
  1.87	   -0.030650	    0.086369
  1.88	   -0.030095	    0.084806
  1.89	   -0.029522	    0.083190
  1.90	   -0.028929	    0.081521
  1.91	   -0.028319	    0.079800
  1.92	   -0.027690	    0.078029
  1.93	   -0.027045	    0.076209
  1.94	   -0.026381	    0.074341
  1.95	   -0.025702	    0.072426
  1.96	   -0.025006	    0.070465
  1.97	   -0.024294	    0.068459
  1.98	   -0.023567	    0.066410
  1.99	   -0.022825	    0.064319
  2.00	   -0.022069	    0.062188
  2.01	   -0.021299	    0.060017
  2.02	   -0.020515	    0.057809
  2.03	   -0.019718	    0.055564
  2.04	   -0.018909	    0.053284
  2.05	   -0.018088	    0.050970
  2.06	   -0.017255	    0.048624
  2.07	   -0.016412	    0.046247
  2.08	   -0.015558	    0.043841
  2.09	   -0.014694	    0.041408
  2.10	   -0.013821	    0.038948
  2.11	   -0.012940	    0.036463
  2.12	   -0.012050	    0.033956
  2.13	   -0.011153	    0.031427
  2.14	   -0.010248	    0.028879
  2.15	   -0.009337	    0.026312
  2.16	   -0.008420	    0.023728
  2.17	   -0.007498	    0.021129
  2.18	   -0.006571	    0.018518
  2.19	   -0.005640	    0.015894
  2.20	   -0.004706	    0.013260
  2.21	   -0.003768	    0.010618
  2.22	   -0.002828	    0.007970
  2.23	   -0.001886	    0.005316
  2.24	   -0.000944	    0.002659
  2.25	   -0.000000	    0.000000
  2.26	    0.000944	   -0.002659
  2.27	    0.001886	   -0.005316
  2.28	    0.002828	   -0.007970
  2.29	    0.003768	   -0.010618
  2.30	    0.004706	   -0.013260
  2.31	    0.005640	   -0.015894
  2.32	    0.006571	   -0.018518
  2.33	    0.007498	   -0.021129
  2.34	    0.008420	   -0.023728
  2.35	    0.009337	   -0.026312
  2.36	    0.010248	   -0.028879
  2.37	    0.011153	   -0.031427
  2.38	    0.012050	   -0.033956
  2.39	    0.012940	   -0.036463
  2.40	    0.013821	   -0.038948
  2.41	    0.014694	   -0.041408
  2.42	    0.015558	   -0.043841
  2.43	    0.016412	   -0.046247
  2.44	    0.017255	   -0.048624
  2.45	    0.018088	   -0.050970
  2.46	    0.018909	   -0.053284
  2.47	    0.019718	   -0.055564
  2.48	    0.020515	   -0.057809
  2.49	    0.021299	   -0.060017
  2.50	    0.022069	   -0.062188
  2.51	    0.022825	   -0.064319
  2.52	    0.023567	   -0.066410
  2.53	    0.024294	   -0.068459
  2.54	    0.025006	   -0.070465
  2.55	    0.025702	   -0.072426
  2.56	    0.026381	   -0.074341
  2.57	    0.027045	   -0.076209
  2.58	    0.027690	   -0.078029
  2.59	    0.028319	   -0.079800
  2.60	    0.028929	   -0.081521
  2.61	    0.029522	   -0.083190
  2.62	    0.030095	   -0.084806
  2.63	    0.030650	   -0.086369
  2.64	    0.031185	   -0.087878
  2.65	    0.031701	   -0.089331
  2.66	    0.032196	   -0.090727
  2.67	    0.032672	   -0.092066
  2.68	    0.033126	   -0.093347
  2.69	    0.033560	   -0.094569
  2.70	    0.033972	   -0.095731
  2.71	    0.034363	   -0.096833
  2.72	    0.034733	   -0.097874
  2.73	    0.035080	   -0.098853
  2.74	    0.035405	   -0.099769
  2.75	    0.035708	   -0.100623
  2.76	    0.035988	   -0.101412
